Unique Identifier,Memory Address (Hex),Memory Address (Dec),Initial Value,Element Type
"SEGMENT_0_NODE_ID_NODE_NAME","0x0000",0,"""","string"
"SEGMENT_0_NODE_ID_NODE_DESCRIPTION","0x003E",62,"""","string"
"RESET_CONTROL_INT_0","0x0000",0,"0","int"
"ATTRIBUTES_NUMBER_OF_STRINGS","0x0000",0,"2","int"
"ATTRIBUTES_MAXIMUM_LUMINOSITY","0x0001",1,"100","int"
"ATTRIBUTES_FULL_LUMINOSITY_ON","0x0002",2,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_MINIMUM_LUMINOSITY","0x000A",10,"20","int"
"ATTRIBUTES_LOW_LUMINOSITY_ON","0x000B",11,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_EFFECT_CYCLE_FREQUENCY","0x0013",19,"100","int"
"ATTRIBUTES_GROUP_EVENTS_ALL_ON","0x0014",20,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_ALL_OFF","0x001C",28,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_STREET_ON","0x0024",36,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_STREET_OFF","0x002C",44,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_EXTERIOR_ON","0x0034",52,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_EXTERIOR_OFF","0x003C",60,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_BUSINESS_ON","0x0044",68,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_BUSINESS_OFF","0x004C",76,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_RESIDENTIAL_ON","0x0054",84,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_RESIDENTIAL_OFF","0x005C",92,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_SECONDARY_ON","0x0064",100,"00.00.00.00.00.00.00.00","eventid"
"ATTRIBUTES_GROUP_EVENTS_SECONDARY_OFF","0x006C",108,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_1_DESCRIPTION","0x0000",0,"""","string"
"STRINGS_STRING_1_NUMBER_OF_HEADS","0x0015",21,"5","int"
"STRINGS_STRING_1_ALL_ON","0x0016",22,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_1_ALL_OFF","0x001E",30,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_1_ALL_TOGGLE","0x0026",38,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_1_EFFECTS_ON","0x002E",46,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_1_EFFECTS_OFF","0x0036",54,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_1_EFFECTS_TOGGLE","0x003E",62,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_1_DIMMER_TOGGLE","0x0046",70,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_1_NEO_PIXELS_1_DESCRIPTION","0x004E",78,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_1_RED_LEAD_INTENSITY","0x0063",99,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_1_RED_LEAD_CYCLES_ON","0x0064",100,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_1_RED_LEAD_CYCLES_OFF","0x0065",101,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_1_RED_LEAD_STARTING_CYCLE","0x0066",102,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_1_RED_LEAD_EFFECT","0x0067",103,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_1_RED_LEAD_GROUP","0x0068",104,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_1_GREEN_LEAD_INTENSITY","0x0069",105,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_1_GREEN_LEAD_CYCLES_ON","0x006A",106,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_1_GREEN_LEAD_CYCLES_OFF","0x006B",107,"5","int"
